2024-04-07 13:51:18, 10.116.172.70, 172.217.215.188, TCP
2024-04-07 13:51:18, 172.217.215.188, 10.116.172.70, TCP
2024-04-07 13:51:19, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:19, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:19, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:19, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:19, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:19, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:19, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:19, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:19, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:19, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:19, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:19, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:19, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:19, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:19, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:19, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:19, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:19, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:19, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:19, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:20, 10.116.172.70, 74.125.138.147, UDP
2024-04-07 13:51:20, 10.116.172.70, 74.125.138.147, UDP
2024-04-07 13:51:20, 74.125.138.147, 10.116.172.70, UDP
2024-04-07 13:51:20, 74.125.138.147, 10.116.172.70, UDP
2024-04-07 13:51:20, 74.125.138.147, 10.116.172.70, UDP
2024-04-07 13:51:20, 10.116.172.70, 74.125.138.147, UDP
2024-04-07 13:51:20, 10.116.172.70, 74.125.138.147, UDP
2024-04-07 13:51:20, 74.125.138.147, 10.116.172.70, UDP
2024-04-07 13:51:20, 10.116.172.70, 74.125.138.147, UDP
2024-04-07 13:51:20, 34.232.214.120, 10.116.172.70, TCP
2024-04-07 13:51:20, 10.116.172.70, 34.232.214.120, TCP
2024-04-07 13:51:21, 10.116.172.71, 224.0.0.251, UDP
2024-04-07 13:51:21, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:21, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:23, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:23, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:26, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:26, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:26, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:26, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:27, 10.116.172.70, 185.199.109.133, TCP
2024-04-07 13:51:27, 185.199.109.133, 10.116.172.70, TCP
2024-04-07 13:51:28, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:28, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:29, 140.82.112.26, 10.116.172.70, TCP
2024-04-07 13:51:29, 10.116.172.70, 140.82.112.26, TCP
2024-04-07 13:51:29, 10.116.172.70, 140.82.112.26, TCP
2024-04-07 13:51:29, 140.82.112.26, 10.116.172.70, TCP
2024-04-07 13:51:30, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:30, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:30, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:30, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:30, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:30, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:30, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:30, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:30, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:30, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:30, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:30, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:30, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:30, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:32, 10.116.172.70, 162.159.130.235, TCP
2024-04-07 13:51:32, 162.159.130.235, 10.116.172.70, TCP
2024-04-07 13:51:35, 10.116.172.70, 17.248.186.104, UDP
2024-04-07 13:51:35, 34.232.214.120, 10.116.172.70, TCP
2024-04-07 13:51:35, 10.116.172.70, 34.232.214.120, TCP
2024-04-07 13:51:35, 17.248.186.104, 10.116.172.70, UDP
2024-04-07 13:51:35, 10.116.172.70, 162.253.26.80, TCP
2024-04-07 13:51:35, 10.116.172.70, 184.24.37.120, TCP
2024-04-07 13:51:35, 10.116.172.70, 162.253.26.80, TCP
2024-04-07 13:51:35, 10.116.172.70, 184.24.37.120, TCP
2024-04-07 13:51:36, 184.24.37.120, 10.116.172.70, TCP
2024-04-07 13:51:36, 184.24.37.120, 10.116.172.70, TCP
2024-04-07 13:51:36, 184.24.37.120, 10.116.172.70, TCP
2024-04-07 13:51:36, 10.116.172.70, 184.24.37.120, TCP
2024-04-07 13:51:36, 10.116.172.70, 184.24.37.120, TCP
2024-04-07 13:51:36, 10.116.172.70, 184.24.37.120, TCP
2024-04-07 13:51:36, 162.253.26.80, 10.116.172.70, TCP
2024-04-07 13:51:36, 162.253.26.80, 10.116.172.70, TCP
2024-04-07 13:51:36, 162.253.26.80, 10.116.172.70, TCP
2024-04-07 13:51:36, 10.116.172.70, 162.253.26.80, TCP
2024-04-07 13:51:36, 10.116.172.70, 162.253.26.80, TCP
2024-04-07 13:51:36, 10.116.172.70, 162.253.26.80, TCP
2024-04-07 13:51:36, 162.253.26.80, 10.116.172.70, TCP
2024-04-07 13:51:36, 10.116.172.70, 162.253.26.80, TCP
2024-04-07 13:51:36, 10.116.172.70, 64.233.177.139, UDP
2024-04-07 13:51:36, 10.116.172.70, 64.233.177.139, UDP
2024-04-07 13:51:36, 64.233.177.139, 10.116.172.70, UDP
2024-04-07 13:51:36, 64.233.177.139, 10.116.172.70, UDP
2024-04-07 13:51:36, 10.116.172.70, 64.233.177.139, UDP
2024-04-07 13:51:36, 64.233.177.139, 10.116.172.70, UDP
2024-04-07 13:51:36, 64.233.177.139, 10.116.172.70, UDP
2024-04-07 13:51:36, 64.233.177.139, 10.116.172.70, UDP
2024-04-07 13:51:36, 10.116.172.70, 64.233.177.139, UDP
2024-04-07 13:51:36, 10.116.172.70, 64.233.177.139, UDP
2024-04-07 13:51:36, 10.116.172.70, 64.233.177.139, UDP
2024-04-07 13:51:36, 64.233.177.139, 10.116.172.70, UDP
2024-04-07 13:51:36, 64.233.177.139, 10.116.172.70, UDP
2024-04-07 13:51:36, 10.116.172.70, 64.233.177.139, UDP
2024-04-07 13:51:36, 10.116.172.70, 17.248.186.104, UDP
2024-04-07 13:51:36, 17.248.186.104, 10.116.172.70, UDP
2024-04-07 13:51:37, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:37, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:39, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:39, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:39, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:39, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:39, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:39, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:39, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:39, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:39, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:39, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:39, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:39, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:39, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:39, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:39, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:39, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:41, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:42, 10.116.172.70, 13.107.5.93, TCP
2024-04-07 13:51:42, 13.107.5.93, 10.116.172.70, TCP
2024-04-07 13:51:42, 10.116.172.70, 152.199.4.33, TCP
2024-04-07 13:51:42, 152.199.4.33, 10.116.172.70, TCP
2024-04-07 13:51:43, 10.116.172.70, 104.222.20.6, UDP
2024-04-07 13:51:43, 10.116.172.70, 104.222.20.6, UDP
2024-04-07 13:51:43, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:43, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:43, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:43, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:43, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:43, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:43, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:43, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:43, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:43, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:43, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:43, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:43, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:43, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:43, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:43, 13.107.246.51, 10.116.172.70, TCP
2024-04-07 13:51:43, 13.107.246.51, 10.116.172.70, TCP
2024-04-07 13:51:43, 13.107.246.51, 10.116.172.70, TCP
2024-04-07 13:51:43, 13.107.246.51, 10.116.172.70, TCP
2024-04-07 13:51:43, 10.116.172.70, 13.107.246.51, TCP
2024-04-07 13:51:43, 10.116.172.70, 13.107.246.51, TCP
2024-04-07 13:51:43, 10.116.172.70, 13.107.246.51, TCP
2024-04-07 13:51:43, 10.116.172.70, 13.107.246.51, TCP
2024-04-07 13:51:43, 10.116.172.70, 13.107.246.51, TCP
2024-04-07 13:51:43, 104.222.20.6, 10.116.172.70, UDP
2024-04-07 13:51:43, 104.222.20.6, 10.116.172.70, UDP
2024-04-07 13:51:43, 13.107.246.51, 10.116.172.70, TCP
2024-04-07 13:51:43, 13.107.246.51, 10.116.172.70, TCP
2024-04-07 13:51:43, 10.116.172.70, 13.107.246.51, TCP
2024-04-07 13:51:43, 13.107.246.51, 10.116.172.70, TCP
2024-04-07 13:51:43, 10.116.172.70, 13.107.246.51, TCP
2024-04-07 13:51:43, 20.42.73.24, 10.116.172.70, TCP
2024-04-07 13:51:43, 20.42.73.24, 10.116.172.70, TCP
2024-04-07 13:51:43, 20.42.73.24, 10.116.172.70, TCP
2024-04-07 13:51:43, 20.42.73.24, 10.116.172.70, TCP
2024-04-07 13:51:43, 20.42.73.24, 10.116.172.70, TCP
2024-04-07 13:51:43, 20.42.73.24, 10.116.172.70, TCP
2024-04-07 13:51:43, 20.42.73.24, 10.116.172.70, TCP
2024-04-07 13:51:43, 20.42.73.24, 10.116.172.70, TCP
2024-04-07 13:51:43, 20.42.73.24, 10.116.172.70, TCP
2024-04-07 13:51:43, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:43, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:43, 20.42.73.24, 10.116.172.70, TCP
2024-04-07 13:51:43, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:43, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:43, 20.42.73.24, 10.116.172.70, TCP
2024-04-07 13:51:43, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:43, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:44, 13.107.213.51, 10.116.172.70, TCP
2024-04-07 13:51:44, 13.107.213.51, 10.116.172.70, TCP
2024-04-07 13:51:44, 13.107.213.51, 10.116.172.70, TCP
2024-04-07 13:51:44, 13.107.213.51, 10.116.172.70, TCP
2024-04-07 13:51:44, 10.116.172.70, 13.107.213.51, TCP
2024-04-07 13:51:44, 10.116.172.70, 13.107.213.51, TCP
2024-04-07 13:51:44, 10.116.172.70, 13.107.213.51, TCP
2024-04-07 13:51:44, 10.116.172.70, 13.107.213.51, TCP
2024-04-07 13:51:44, 13.107.213.51, 10.116.172.70, TCP
2024-04-07 13:51:45, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:45, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:45, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:45, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:45, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:45, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:45, 20.42.73.24, 10.116.172.70, TCP
2024-04-07 13:51:45, 20.42.73.24, 10.116.172.70, TCP
2024-04-07 13:51:45, 20.42.73.24, 10.116.172.70, TCP
2024-04-07 13:51:45, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:46, 10.116.172.70, 13.107.42.18, TCP
2024-04-07 13:51:46, 13.107.42.18, 10.116.172.70, TCP
2024-04-07 13:51:46, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:46, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:46, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:46, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:46, 10.116.172.70, 104.222.31.6, UDP
2024-04-07 13:51:46, 10.116.172.70, 104.222.31.6, UDP
2024-04-07 13:51:46, 104.222.31.6, 10.116.172.70, UDP
2024-04-07 13:51:46, 104.222.31.6, 10.116.172.70, UDP
2024-04-07 13:51:46, 10.116.172.70, 108.177.122.94, UDP
2024-04-07 13:51:46, 10.116.172.70, 108.177.122.94, UDP
2024-04-07 13:51:46, 10.116.172.70, 108.177.122.94, UDP
2024-04-07 13:51:46, 108.177.122.94, 10.116.172.70, UDP
2024-04-07 13:51:46, 108.177.122.94, 10.116.172.70, UDP
2024-04-07 13:51:46, 108.177.122.94, 10.116.172.70, UDP
2024-04-07 13:51:46, 10.116.172.70, 108.177.122.94, UDP
2024-04-07 13:51:46, 10.116.172.70, 108.177.122.94, UDP
2024-04-07 13:51:46, 108.177.122.94, 10.116.172.70, UDP
2024-04-07 13:51:46, 10.116.172.70, 108.177.122.94, UDP
2024-04-07 13:51:46, 108.177.122.94, 10.116.172.70, UDP
2024-04-07 13:51:46, 108.177.122.94, 10.116.172.70, UDP
2024-04-07 13:51:46, 10.116.172.70, 108.177.122.94, UDP
2024-04-07 13:51:46, 10.116.172.70, 108.177.122.94, UDP
2024-04-07 13:51:46, 108.177.122.94, 10.116.172.70, UDP
2024-04-07 13:51:46, 108.177.122.94, 10.116.172.70, UDP
2024-04-07 13:51:46, 108.177.122.94, 10.116.172.70, UDP
2024-04-07 13:51:46, 10.116.172.70, 108.177.122.94, UDP
2024-04-07 13:51:46, 108.177.122.94, 10.116.172.70, UDP
2024-04-07 13:51:46, 108.177.122.94, 10.116.172.70, UDP
2024-04-07 13:51:46, 10.116.172.70, 108.177.122.94, UDP
2024-04-07 13:51:46, 10.116.172.70, 108.177.122.94, UDP
2024-04-07 13:51:46, 108.177.122.94, 10.116.172.70, UDP
2024-04-07 13:51:47, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:47, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:47, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:47, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:47, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:47, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:47, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:47, 20.42.73.24, 10.116.172.70, TCP
2024-04-07 13:51:47, 20.42.73.24, 10.116.172.70, TCP
2024-04-07 13:51:47, 20.42.73.24, 10.116.172.70, TCP
2024-04-07 13:51:47, 20.42.73.24, 10.116.172.70, TCP
2024-04-07 13:51:47, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:47, 13.107.213.51, 10.116.172.70, TCP
2024-04-07 13:51:47, 13.107.213.51, 10.116.172.70, TCP
2024-04-07 13:51:47, 10.116.172.70, 13.107.213.51, TCP
2024-04-07 13:51:47, 10.116.172.70, 13.107.213.51, TCP
2024-04-07 13:51:47, 10.116.172.70, 13.107.213.51, TCP
2024-04-07 13:51:47, 13.107.213.51, 10.116.172.70, TCP
2024-04-07 13:51:48, 10.116.172.70, 13.107.42.18, TCP
2024-04-07 13:51:48, 13.107.42.18, 10.116.172.70, TCP
2024-04-07 13:51:48, 10.116.172.70, 151.101.53.229, TCP
2024-04-07 13:51:48, 151.101.53.229, 10.116.172.70, TCP
2024-04-07 13:51:48, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:48, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:49, 10.116.172.70, 13.107.6.175, TCP
2024-04-07 13:51:49, 10.116.172.70, 93.184.215.201, TCP
2024-04-07 13:51:49, 10.116.172.70, 93.184.215.201, TCP
2024-04-07 13:51:49, 10.116.172.70, 93.184.215.201, TCP
2024-04-07 13:51:49, 10.116.172.70, 93.184.215.201, TCP
2024-04-07 13:51:49, 93.184.215.201, 10.116.172.70, TCP
2024-04-07 13:51:49, 93.184.215.201, 10.116.172.70, TCP
2024-04-07 13:51:49, 93.184.215.201, 10.116.172.70, TCP
2024-04-07 13:51:49, 93.184.215.201, 10.116.172.70, TCP
2024-04-07 13:51:49, 13.107.6.175, 10.116.172.70, TCP
2024-04-07 13:51:49, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:49, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:49, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:49, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:49, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:49, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:49, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:49, 10.116.172.70, 20.42.73.24, TCP
